instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011-01-01,1,0,1,0,6,0,2,34,36,81,16,331,654,985
2,2011-01-02,1,0,1,0,0,0,2,36,35,70,25,131,670,801
3,2011-01-03,1,0,1,0,1,1,1,20,19,44,25,120,1229,1349
4,2011-01-04,1,0,1,0,2,1,1,20,21,59,16,108,1454,1562
5,2011-01-05,1,0,1,0,3,1,1,23,23,44,19,82,1518,1600
6,2011-01-06,1,0,1,0,4,1,1,20,23,52,9,88,1518,1606
7,2011-01-07,1,0,1,0,5,1,2,20,21,50,17,148,1362,1510
8,2011-01-08,1,0,1,0,6,0,2,16,16,54,27,68,891,959
9,2011-01-09,1,0,1,0,0,0,1,14,12,43,36,54,768,822
10,2011-01-10,1,0,1,0,1,1,1,15,15,48,22,41,1280,1321
11,2011-01-11,1,0,1,0,2,1,2,17,19,69,12,43,1220,1263
12,2011-01-12,1,0,1,0,3,1,1,17,16,60,30,25,1137,1162
13,2011-01-13,1,0,1,0,4,1,1,16,15,47,30,38,1368,1406
14,2011-01-14,1,0,1,0,5,1,1,16,19,54,13,54,1367,1421
15,2011-01-15,1,0,1,0,6,0,2,23,25,50,16,222,1026,1248
16,2011-01-16,1,0,1,0,0,0,1,23,23,48,19,251,953,1204
17,2011-01-17,1,0,1,1,1,0,2,18,18,54,19,117,883,1000
18,2011-01-18,1,0,1,0,2,1,2,22,23,86,15,9,674,683
19,2011-01-19,1,0,1,0,3,1,2,29,30,74,21,78,1572,1650
20,2011-01-20,1,0,1,0,4,1,2,26,26,54,20,83,1844,1927
21,2011-01-21,1,0,1,0,5,1,1,18,16,46,35,75,1468,1543
22,2011-01-22,1,0,1,0,6,0,1,6,8,40,17,93,888,981
23,2011-01-23,1,0,1,0,0,0,1,10,10,44,25,150,836,986
24,2011-01-24,1,0,1,0,1,1,1,10,12,49,16,86,1330,1416
25,2011-01-25,1,0,1,0,2,1,2,22,23,62,13,186,1799,1985
26,2011-01-26,1,0,1,0,3,1,3,22,20,86,29,34,472,506
27,2011-01-27,1,0,1,0,4,1,1,20,22,69,11,15,416,431
28,2011-01-28,1,0,1,0,5,1,2,20,22,79,12,38,1129,1167
29,2011-01-29,1,0,1,0,6,0,1,20,21,65,15,123,975,1098
