dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-01,Spring,2011,Jan,No Holiday,Sat,Weekend,Mist,34.4167,36.3625,80.58330000000001,16.0446,331,654,985
2011-01-02,Spring,2011,Jan,No Holiday,Sun,Weekend,Mist,36.3478,35.373900000000006,69.6087,24.8539,131,670,801
2011-01-03,Spring,2011,Jan,No Holiday,Mon,Weekday,Clear,19.636400000000002,18.9405,43.7273,24.8309,120,1229,1349
2011-01-04,Spring,2011,Jan,No Holiday,Tue,Weekday,Clear,20.0,21.2122,59.0435,16.0296,108,1454,1562
2011-01-05,Spring,2011,Jan,No Holiday,Wed,Weekday,Clear,22.6957,22.927,43.695699999999995,18.69,82,1518,1600
2011-01-06,Spring,2011,Jan,No Holiday,Thu,Weekday,Clear,20.4348,23.3209,51.8261,8.95652,88,1518,1606
2011-01-07,Spring,2011,Jan,No Holiday,Fri,Weekday,Mist,19.6522,20.8839,49.8696,16.8726,148,1362,1510
2011-01-08,Spring,2011,Jan,No Holiday,Sat,Weekend,Mist,16.5,16.2254,53.5833,26.6804,68,891,959
2011-01-09,Spring,2011,Jan,No Holiday,Sun,Weekend,Clear,13.833300000000001,11.6175,43.416700000000006,36.195,54,768,822
2011-01-10,Spring,2011,Jan,No Holiday,Mon,Weekday,Clear,15.0833,15.088799999999999,48.2917,22.3267,41,1280,1321
2011-01-11,Spring,2011,Jan,No Holiday,Tue,Weekday,Mist,16.9091,19.1464,68.6364,12.2132,43,1220,1263
2011-01-12,Spring,2011,Jan,No Holiday,Wed,Weekday,Clear,17.2727,16.0473,59.954499999999996,30.462699999999998,25,1137,1162
2011-01-13,Spring,2011,Jan,No Holiday,Thu,Weekday,Clear,16.5,15.088299999999998,47.0417,30.099999999999998,38,1368,1406
2011-01-14,Spring,2011,Jan,No Holiday,Fri,Weekday,Clear,16.087,18.8413,53.7826,12.6548,54,1367,1421
2011-01-15,Spring,2011,Jan,No Holiday,Sat,Weekend,Mist,23.3333,24.8112,49.875,15.796299999999999,222,1026,1248
2011-01-16,Spring,2011,Jan,No Holiday,Sun,Weekend,Clear,23.166700000000002,23.4217,48.375,18.8433,251,953,1204
2011-01-17,Spring,2011,Jan,Holiday,Mon,Weekend,Mist,17.583299999999998,17.677100000000003,53.75,19.401699999999998,117,883,1000
2011-01-18,Spring,2011,Jan,No Holiday,Tue,Weekday,Mist,21.6667,23.2333,86.16669999999999,14.677499999999998,9,674,683
2011-01-19,Spring,2011,Jan,No Holiday,Wed,Weekday,Mist,29.217399999999998,29.842200000000002,74.1739,20.8317,78,1572,1650
2011-01-20,Spring,2011,Jan,No Holiday,Thu,Weekday,Mist,26.1667,25.505,53.833299999999994,19.5904,83,1844,1927
2011-01-21,Spring,2011,Jan,No Holiday,Fri,Weekday,Clear,17.75,15.7833,45.7083,35.3242,75,1468,1543
